primary,secondary,name,address,ahoj
 ,"Osvetleni", ,"0/0/-","","","","","Auto"
 , ,"Spinani Rele A","0/0/1","","","","DPST-1-1","Auto"
 , ,"Spinani Rele B","0/0/2","","","","DPST-1-1","Auto"
 , ,"Spinani Rele A","0/0/3","","","","DPST-1-1","Auto"
 , ,"Spinani Rele B","0/0/4","","","","DPST-1-1","Auto"
 ,"Mereni", ,"0/1/-","","","","","Auto"
 , ,"Intenzita osvetleni kuchyne","0/1/0","","","","DPST-9-4","Auto"
 , ,"Teplota PIR kuchyne","0/1/1","","","","DPST-9-1","Auto"
 , ,"Teplota Kuchyne tlacitko","0/1/2","","","","DPST-9-1","Auto"
 , ,"Teplota Chodba tlacitko","0/1/3","","","","DPST-9-1","Auto"
 , ,"Teplota PIR obyvak","0/1/4","","","","DPST-9-1","Auto"
 , ,"Jas Obyvak","0/1/5","","","","DPST-9-4","Auto"
 , ,"Garaz tlacitko telpota","0/1/6","","","","DPST-9-1","Auto"
 , ,"Satna PIR telpota","0/1/7","","","","DPST-9-1","Auto"
 , ,"Loznice PIR telpota","0/1/8","","","","DPST-9-1","Auto"
 , ,"Zadveri PIR telpota","0/1/9","","","","","Auto"
 , ,"Technicka tlacitko telpota","0/1/10","","","","DPST-9-1","Auto"
 , ,"Spiz PIR telpota","0/1/11","","","","DPST-9-1","Auto"
 , ,"Koupelna PIR telpota","0/1/12","","","","","Auto"
 , ,"Zachod PIR telpota","0/1/13","","","","DPST-9-1","Auto"
 , ,"Chodba PIR telpota","0/1/14","","","","DPST-9-1","Auto"
 , ,"Garaz PIR jas","0/1/15","","","","DPST-9-4","Auto"
 , ,"Loznice PIR jas","0/1/16","","","","DPST-9-4","Auto"
 , ,"Satna PIR jas","0/1/17","","","","DPST-9-4","Auto"
 , ,"Koupelna PIR jas","0/1/18","","","","","Auto"
 , ,"Zachod PIR jas","0/1/19","","","","DPST-9-4","Auto"
 , ,"Technicka PIR jas","0/1/20","","","","DPST-9-4","Auto"
 , ,"Spiz PIR jas","0/1/21","","","","DPST-9-4","Auto"
 , ,"Chodba PIR jas","0/1/22","","","","DPST-9-4","Auto"
 , ,"Zachod tlacitko teplota","0/1/23","","","","DPST-9-1","Auto"
 , ,"Technicka PIR telpota","0/1/24","","","","DPST-9-1","Auto"
 , ,"Garaz PIR telpota","0/1/25","","","","DPST-9-1","Auto"
 , ,"Koupelna vlhkomer vlhkost","0/1/26","","","","DPST-9-1","Auto"
 , ,"Koupelna teplomer teplota","0/1/27","","","","DPST-9-1","Auto"
 , ,"Koupelna vlhkomer absolutni vlhkost","0/1/28","","","","DPST-9-1","Auto"
 , ,"Loznice tlacitko telpota","0/1/29","","","","DPST-9-1","Auto"
 ,"Pritomnost", ,"0/2/-","","","","","Auto"
 , ,"Kuchyn_1","0/2/0","","","","DPST-1-1","Auto"
 , ,"Kuchyn_2","0/2/1","","","","DPST-1-1","Auto"
 , ,"Kuchyn_3","0/2/2","","","","DPST-1-1","Auto"
 , ,"Obyvak Pritomnost ","0/2/3","","","","DPST-1-1","Auto"
 , ,"Chodba Pritomnost","0/2/4","","","","DPST-1-1","Auto"
 , ,"Loznice Pritomnost","0/2/5","","","","DPST-1-1","Auto"
 , ,"Technicka mistnost Pritomnost","0/2/6","","","","DPST-1-1","Auto"
 , ,"Koupelna Pritomnost","0/2/7","","","","","Auto"
 , ,"Satna Pritomnost","0/2/8","","","","DPST-1-1","Auto"
 , ,"Spiz Pritomnost","0/2/9","","","","DPST-1-1","Auto"
 , ,"Garaz Pritomnost","0/2/10","","","","DPST-1-1","Auto"
 , ,"Zadveri Pritomnost","0/2/11","","","","","Auto"
 , ,"Zachod Pritomnost","0/2/12","","","","DPST-1-1","Auto"
 ,"Tlacitka", ,"0/3/-","","","","","Auto"
 , ,"obyvak_1_press","0/3/0","","","","DPST-1-1","Auto"
 , ,"obyvak_2_press","0/3/1","","","","DPST-1-1","Auto"
 , ,"obyvak_3_press","0/3/2","","","","DPST-1-1","Auto"
 , ,"obyvak_4_press","0/3/3","","","","DPST-1-1","Auto"
 , ,"obyvak_1_long","0/3/4","","","","DPST-1-1","Auto"
 , ,"obyvak_2_long","0/3/5","","","","DPST-1-1","Auto"
 , ,"obyvak_3_long","0/3/6","","","","DPST-1-1","Auto"
 , ,"obyvak_4_long","0/3/7","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 1","0/3/8","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 2","0/3/9","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 3","0/3/10","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 4","0/3/11","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 1 dlouhy","0/3/12","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 2 dlouhy","0/3/13","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 3 dlouhy","0/3/14","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 4 dlouhy","0/3/15","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 1 LED","0/3/16","","","","DPST-5-5","Auto"
 , ,"Kuchyne tlacitko 2 LED","0/3/17","","","","DPST-5-5","Auto"
 , ,"Kuchyne tlacitko 3 LED","0/3/18","","","","DPST-5-5","Auto"
 , ,"Kuchyne tlacitko 4 LED","0/3/19","","","","DPST-5-5","Auto"
 , ,"Chodba tlacitko 1","0/3/20","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko blokace","0/3/21","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 2","0/3/22","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 3","0/3/23","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 4","0/3/24","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 1 dlouhy","0/3/25","","","","DPST-1-1","Auto"
