"1.NP", , ,"0/-/-","","","","","Auto"
 ,"Prepinace (switches)", ,"0/0/-","","","","","Auto"
 , ,"Rozvadec Rele A","0/0/1","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele B","0/0/2","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele C","0/0/3","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele D","0/0/4","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele E","0/0/5","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele F","0/0/6","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele G","0/0/7","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele H","0/0/8","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele I","0/0/9","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele J","0/0/10","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele K","0/0/11","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele L","0/0/12","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele M","0/0/13","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele N","0/0/14","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele O","0/0/15","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele P","0/0/16","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele Q","0/0/17","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele R","0/0/18","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele S","0/0/19","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele T","0/0/20","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele U","0/0/21","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele V","0/0/22","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele W","0/0/23","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele X","0/0/24","","","","DPST-1-1","Auto"
 , ,"Kuchyne PIR bila","0/0/25","","","","DPST-1-1","Auto"
 , ,"Obyvak PIR cervena","0/0/26","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi PIR bila","0/0/27","","","","DPST-1-1","Auto"
 , ,"Loznice PIR zelena","0/0/28","","","","DPST-1-1","Auto"
 , ,"Technicka PIR cervena","0/0/29","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi PIR bila","0/0/30","","","","DPST-1-1","Auto"
 , ,"Satna PIR bila","0/0/31","","","","DPST-1-1","Auto"
 , ,"Spiz PIR bila","0/0/32","","","","DPST-1-1","Auto"
 , ,"Garaz PIR cervena","0/0/33","","","","DPST-1-1","Auto"
 , ,"Zadveri PIR cervena","0/0/34","","","","DPST-1-1","Auto"
 , ,"Zachod PIR zelena","0/0/35","","","","DPST-1-1","Auto"
 , ,"Kuchyne PIR cervena","0/0/36","","","","DPST-1-1","Auto"
 , ,"Obyvak PIR zelena","0/0/37","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi PIR cervena","0/0/38","","","","DPST-1-1","Auto"
 , ,"Loznice PIR bila","0/0/39","","","","DPST-1-1","Auto"
 , ,"Technicka PIR bila","0/0/40","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi PIR zelena","0/0/41","","","","DPST-1-1","Auto"
 , ,"Satna PIR cervena","0/0/42","","","","DPST-1-1","Auto"
 , ,"Spiz PIR zelena","0/0/43","","","","DPST-1-1","Auto"
 , ,"Garaz PIR zelena","0/0/44","","","","DPST-1-1","Auto"
 , ,"Zadveri PIR zelena","0/0/45","","","","DPST-1-1","Auto"
 , ,"Zachod PIR cervena","0/0/46","","","","DPST-1-1","Auto"
 , ,"Kuchyne PIR zelena","0/0/47","","","","DPST-1-1","Auto"
 , ,"Obyvak PIR bila","0/0/48","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi PIR zelena","0/0/49","","","","DPST-1-1","Auto"
 , ,"Loznice PIR cervena","0/0/50","","","","DPST-1-1","Auto"
 , ,"Technicka PIR zelena","0/0/51","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi PIR cervena","0/0/52","","","","DPST-1-1","Auto"
 , ,"Satna PIR zelena","0/0/53","","","","DPST-1-1","Auto"
 , ,"Spiz PIR cervena","0/0/54","","","","DPST-1-1","Auto"
 , ,"Garaz PIR bila","0/0/55","","","","DPST-1-1","Auto"
 , ,"Zadveri PIR bila","0/0/56","","","","DPST-1-1","Auto"
 , ,"Zachod PIR bila","0/0/57","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele A state","0/0/58","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele B state","0/0/59","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele C state","0/0/60","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele D state","0/0/61","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele E state","0/0/62","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele F state","0/0/63","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele G state","0/0/64","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele H state","0/0/65","","","","DPST-1-1","Auto"
